客戶名稱,合約金額,合約到期日,近30天使用次數,近90天客服工單數,近90天緊急工單數,導入完成度(%),滿意度分數(NPS/CSAT),距今最近互動天數
晨曦餐飲,480000,2026-09-10,5,8,3,40,3,45
藍海物流,320000,2027-03-15,45,1,0,95,9,5
星辰教育科技,150000,2026-10-05,12,6,2,60,5,20
綠源生技,600000,2027-01-20,38,2,0,100,8,10
快遞先鋒,90000,2026-09-01,3,10,4,30,,60
恆昌製造,720000,2027-05-30,50,0,0,100,10,2
好食光烘焙,60000,2026-11-01,8,5,1,55,6,30
雲端數位行銷,210000,2027-02-14,28,3,0,80,7,15
晴天美妝,130000,2026-08-25,15,4,1,70,6,25
星際遊戲工作室,400000,2027-06-01,42,2,0,90,8,7
老友藥局連鎖,280000,2026-09-20,2,12,5,20,2,55
森林露營用品,75000,2027-04-10,20,3,0,65,7,18
智慧農業科技,340000,2026-10-15,10,7,2,45,4,40
城市寵物醫院,95000,2027-01-05,33,1,0,85,9,8
陽光幼兒園聯盟,110000,2026-09-05,6,9,3,35,,50
峰值健身俱樂部,160000,2027-03-22,25,4,1,70,6,22
遠見顧問公司,500000,2027-07-18,48,1,0,100,9,3
小島手作工坊,40000,2026-09-28,4,6,2,50,5,48
東方物產貿易,260000,2027-02-28,30,2,0,75,7,12
未來教室平台,190000,2026-11-10,18,5,1,60,6,28
海岸旅宿集團,220000,2027-05-05,35,2,0,80,8,9
精工五金製造,310000,2026-08-30,9,8,3,40,3,42
慢活茶館連鎖,55000,2027-06-20,22,3,0,68,7,16
光速物流科技,430000,2026-10-01,40,2,0,90,8,6
